DAVCNA_ST;MATICNA_ST;OSA_ID;NAZIV;NASLOV;KRAJ;POSTNA_ST;regija;SKD_SIFRA;DEJAVNOST;DEJAVNOST ŠTEVILKA;SKIS;VELIKOST_SUBJEKTA;ST_ZAPOSLENIH;ST_ZAPOSLENIH<10;ST_ZAPOSLENIH_MED_10_IN_30;ST_ZAPOSLENIH MED 30 IN 100;ST_ZAPOSLENIH NAD 100;AKTUALNO_LETO;SCENARIJ;DATUM_UVOZA;Prihodki 2018; Prihodki 2017 ;Dobi?ek 2018;Dobi?ek 2017;Osnovna sredstva 2018;Osnovna sredstva 2017;Prejemki iz javnih sredstev 2018;Prejemki iz javnih sredstev 2017;Razlika v prihodkih 2018 ;Razlika v prihodkih 2017;Prihodki 2016;KOMENATR;Prihodki 2015;KOMENTAR1;Dobi?ek 2016;KOMENTAR2;Dobi?ek 2015;KOMENTAR3;Osnovna sredstva 2016;Osnovna sredstva 2015
17727332;5895448;45017332;DEOS, d.o.o.;Gmajna 7;Notranje Gorice;1357;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11002;Velike enote;649;NE;NE;NE;DA;2018;1;30.05.2019;25.927.955;23.933.735; -   ;-2.703.873;;134739677;9215739,82;10221594,5;16.712.215,18;13.712.140,50;23933735;23933735;22307913;22307913;2676059;2676059;2708558;4213;33475,65;25090,23
42119022;5064716;22033508;SPLOŠNA BOLNIŠNICA CELJE;Oblakova ulica 5;Celje;3000;3;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;1977;NE;NE;NE;DA;2018;1;30.05.2019;107.083.950;105.481.015;-3.548.546;-1.002.936;59568966;57683745;91611827,02;102099993,3;15.472.122,98;3.381.021,71;98187667;98187667;93001465;93001465;-1710613;-1710613;902749;11372;79071,52;55005
34052674;5055733;10012535;OI LJUBLJANA;Zaloška cesta 2;Ljubljana;1000;1;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;1122;NE;NE;NE;DA;2018;1;30.05.2019;120.156.853;108.540.246;931.143;3.571.626;96336017;89826394;107513009,4;109816704,4;12.643.843,61;-1.276.458,41;102409883;102409883;96448786;96448786;2870243;2870243;390583;2708558;90481661;82189149
80683568;5056063;46448947;ZDRAVSTVENI DOM LJUBLJANA;Metelkova ulica 9;Ljubljana;1000;1;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.13133;Velikost RS se ne izra?unava;1441;NE;NE;NE;DA;2018;1;30.05.2019;64.753.460;61.269.961;-966.245;-747.947;35688940;36370600;52626133,99;49406869,33;12.127.326,01;11.863.091,67;59155364;59155364;57110055;57110055;620790;620790;2187578;496;21994,1;35198
82657106;5054621;22033322;SB Novo mesto;Šmihelska cesta 1;Novo mesto;8000;8;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;1178;NE;NE;NE;DA;2018;1;30.05.2019;64.603.414;62.749.614;394.297;2.756.778;38187402;36904905;55400629,66;54939242,31;9.202.784,34;7.810.371,69;56203629;56203629;52420812;52420812;-170152;-170152;-2328501;179548;9409663;9311543
79007589;1399632;22033832;SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA;Polje 40;Izola - Isola;6310;6;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;851;NE;NE;NE;DA;2018;1;30.05.2019;52.960.888;63.371.546;119.160;14.307.627;33851577;34343716;43951258,93;53034952,58;9.009.629,07;10.336.593,42;45728742;45728742;41398453;41398453;485608;485608;356920;-20281;2994408,95;1832656
19651295;6489087;68983980;NLZOH;Prvomajska ulica 1;Maribor;2000;2;Q86.909;Druge zdravstvene dejavnosti;6;S.13113;Velikost RS se ne izra?unava;706;NE;NE;NE;DA;2018;2;30.05.2019;37.576.684;35.608.834;1.174.492;622.280;29061568;27522972;29569240,86;26561552,89;8.007.443,14;9.047.281,11;34902615;34902615;33309224;33309224;-200654;-200654;704042;13544;26636122;26358708
90714237;5165792;22033463;OZG;Gosposvetska ulica 9;Kranj;4000;4;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.13133;Velikost RS se ne izra?unava;895;NE;NE;NE;DA;2018;1;30.05.2019;44.157.953;40.227.742;767.079;-190.142;29387386;27951258;36427122,09;32827802,78;7.730.830,91;7.399.939,22;39436639;39436639;37308844;37308844;673393;673393;1491933;-52000;13644016;15837737
53650719;5050367;45021988;DOM DANICE VOGRINEC MARIBOR;?ufarjeva cesta 9;Maribor;2000;2;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;402;NE;NE;NE;DA;2018;1;30.05.2019;13.420.416;13.158.900;-223.977;49.633;10833970;10094438;6415344,69;5786824,66;7.005.071,31;7.372.075,34;12810613;12810613;12307003;12307003;50395;50395;19415;39534;74079,85;58305,22
34697390;5054958;10012530;SB Slovenj Gradec;Gosposvetska cesta 1;Slovenj Gradec;2380;2;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;817;NE;NE;NE;DA;2018;1;30.05.2019;46.560.340;50.352.160;-514.026;4.354.838;48813378;51493468;39640500,31;42427076,42;6.919.839,69;7.925.083,58;41207357;41207357;39423895;39423895;-781229;-781229;166591;3529;20186,3;18940,41
24041262;5053960;45020949;ZAVOD REPUBLIKE SLOVENIJE ZA TRANSFUZIJSKO medicino;Šlajmerjeva ulica 6;Ljubljana;1000;1;Q86.909;Druge zdravstvene dejavnosti;6;S.13113;Velikost RS se ne izra?unava;345;NE;NE;NE;DA;2018;1;30.05.2019;42.009.965;36.981.987;-716.968;139.240;31492375;33132274;35138928,14;47653742,49;6.871.036,86;-10.671.755,49;38639518;38639518;35788752;35788752;421956;421956;-225399;2991;18156,48;16775,24
83684921;5050618;22033420;DOM PTUJ;Volkmerjeva cesta 10;Ptuj;2250;2;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;342;NE;NE;NE;DA;2018;1;30.05.2019;10.994.026;9.812.128;63.742;-494.884;32321660;32216106;4337944,77;4433187,07;6.656.081,23;5.378.940,93;10040475;10040475;10731525;10731525;-97099;-97099;846615;29349;84815,83;84301
49672509;5054095;10012533;ZD MARIBOR;Ulica talcev 9;Maribor;2000;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.13133;Velikost RS se ne izra?unava;963;NE;NE;NE;DA;2018;1;30.05.2019;40.113.830;36.563.876;93.434;-403.817;15488521;16016164;33458543,77;28165208,78;6.655.286,23;8.398.667,22;35352154;35352154;33782920;33782920;202547;202547;741011;542607;3314691,79;3281877
66719585;1190997;22033818;Klinika Golnik;Golnik 36;Golnik;4204;4;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;472;NE;NE;NE;DA;2018;1;30.05.2019;29.353.502;28.029.042;135.665;31.035;21208614;22018703;22793669,3;22157815,26;6.559.832,70;5.871.226,74;26025111;26025111;24729048;24729048;629037;629037;32961;102465;1049023,51;1212322,04
36355992;5050740;45022051;DOM STAREJŠIH OB?ANOV LJUBLJANA VI? RUDNIK;Cesta na Bokalce 51;Ljubljana;1000;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;292;NE;NE;NE;DA;2018;1;30.05.2019;9.366.191;9.035.589;79.335;-156.529;15231439;15135047;3582406,54;3546568,08;5.783.784,46;5.489.020,92;9160112;9160112;9008995;9008995;158209;158209;193336;29667;198014,01;728413
73541346;5053919;22033531;URI - So?a;Linhartova cesta 51;Ljubljana;1000;1;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;577;NE;NE;NE;DA;2018;1;30.05.2019;27.365.702;25.798.708;613.341;349.639;24401942;23227427;21638530,38;20702036,94;5.727.171,62;5.096.671,06;24809087;24809087;23773625;23773625;554649;554649;941243;846615;32781091;32693110
30348145;5053765;22033525;ORTOPEDSKA BOLNIŠNICA VALDOLTRA OSPEDALE ORTOPEDICO VALDOLTRA;Jadranska cesta 31;Ankaran - Ancarano;6280;6;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;356;NE;NE;NE;DA;2018;1;30.05.2019;25.970.777;23.530.561;148.347;-940.203;13297860;12504652;20478860,88;21150403,53;5.491.916,12;2.380.157,47;23439671;23439671;22313013;22313013;-599084;-599084;529689;220805;1473309;1310113
86143824;5053692;22033487;SB JESENICE;Cesta maršala Tita 112;Jesenice;4270;4;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;684;NE;NE;NE;DA;2018;1;30.05.2019;37.623.778;41.848.034;183.090;6.176.455;20832885;19915709;32166605,96;35004011,86;5.457.172,04;6.844.022,14;35131673;35131673;32531370;32531370;588465;588465;230304;724857;14711620,89;15135144,33
11427205;5055695;22033323;SB Nova Gorica;Ulica padlih borcev 13 A;Šempeter pri Gorici;5290;5;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;1005;NE;NE;NE;DA;2018;1;30.05.2019;48.423.433;51.927.609;-5.674.287;654.346;22891540;24931561;43065970,81;46808119,06;5.357.462,19;5.119.489,94;44205834;44205834;43062942;43062942;-4391537;-4391537;13544;218204;312389,2;312560,55
35767294;5054796;22001517;BOLNIŠNICA PTUJ;Potr?eva cesta 23;Ptuj;2250;2;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;526;NE;NE;NE;DA;2018;1;30.05.2019;27.261.393;31.651.305;-551.030;4.479.421;12886199;13235561;22342979,76;27784253,46;4.918.413,24;3.867.051,54;24135728;24135728;23573354;23573354;1178220;1178220;44932;900;16591,96;18182
56373538;5619017;22033557;ZD Celje;Gregor?i?eva ulica 5;Celje;3000;3;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.13133;Velikost RS se ne izra?unava;403;NE;NE;NE;DA;2018;1;30.05.2019;17.899.787;16.165.340;6.646;-587.693;8801299;8740940;13442951,86;12598429,98;4.456.835,14;3.566.910,02;18196339;18196339;17589148;17589148;83533;83533;540337;112781;223341,98;161649
48982822;5050669;45022036;DUO IMPOLJCA;Arto 13;Studenec;8293;8;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;297;NE;NE;NE;DA;2018;1;30.05.2019;9.905.501;9.423.747;-79.832;54.067;12562171;13132075;5669323,54;5332995,2;4.236.177,46;4.090.751,80;9346602;9346602;9131622;9131622;94647;94647;325783;167892;290429,62;311401
52804186;5050723;22033480;DOM DR. JOŽETA POTR?A POLJ?ANE;Potr?eva ulica 1;Polj?ane;2319;2;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;169;NE;NE;NE;DA;2018;1;30.05.2019;6.689.839;6.285.021;-56.164;-254.807;6946207;7138995;2455955,4;2636236,22;4.233.883,60;3.648.784,78;5740242;5740242;5548212;5548212;120807;120807;179548;53772;130567,29;66782
66420385;5049679;45019661;KOROŠKI DOM STAROSTNIKOV;?rne?e 146;Dravograd;2370;2;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;191;NE;NE;NE;DA;2018;1;30.05.2019;7.203.479;6.895.354;477.723;665.097;21398665;20382474;3217954,07;2801848,69;3.985.524,93;4.093.505,31;5947155;5947155;5747227;5747227;51395;51395;18428;9793;4695056;4742444
15354997;5174350;22033459;DSO Novo mesto;Šmihel 1;Novo mesto;8000;8;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;210;NE;NE;NE;DA;2018;1;30.05.2019;6.752.362;6.668.999;65.551;49.372;5501393;5555673;2875634,07;2803317,66;3.876.727,93;3.865.681,34;6499187;6499187;6262047;6262047;98892;98892;76766;-17812;42022,01;29063
10220704;5049903;22033419;SVZ HRASTOVEC;Hrastovec v Slov. goricah 22;Lenart v Slovenskih goricah;2230;2;Q87.200;Dejavnost nastanitvenih ustanov za oskrbo duševno prizadetih, duševno obolelih in zasvojenih oseb;4;S.13113;Velikost RS se ne izra?unava;437;NE;NE;NE;DA;2018;1;30.05.2019;14.676.573;13.896.558;1.166;2.062;13887323;14206441;10912338,2;10752361,5;3.764.234,80;3.144.196,50;13804115;13804115;13618750;13618750;44201;44201;13569;51818;341151,26;365680,03
38590522;5057078;45016292;DOM UPOKOJENCEV NOVA GORICA;Gregor?i?eva ulica 16;Nova Gorica;5000;5;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;228;NE;NE;NE;DA;2018;1;30.05.2019;6.674.014;6.236.966;191.199;140.628;7008921;7042806;3122147,82;2818024,52;3.551.866,18;3.418.941,48;6132345;6132345;5105127;5105127;301165;301165;242692;211249;3443653;3392666
21658196;5050499;45022011;DOM STAREJŠIH Raki?an;Ulica dr. Vrbnjaka 1;Murska Sobota;9000;9;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;236;NE;NE;NE;DA;2018;1;30.05.2019;7.269.719;6.761.597;-170.270;2.941;4880976;4695778;3769873,25;3131685,82;3.499.845,75;3.629.911,18;6682449;6682449;6524956;6524956;3845;3845;9793;5319;302596,81;161349
30739551;5101859;45021491;DOM UPOKOJENCEV FRANC SALAMON Trbovlje;Kolonija 1. maja 21;Trbovlje;1420;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;199;NE;NE;NE;DA;2018;1;30.05.2019;6.262.180;5.924.013;84.920;152.716;3818090;3799137;2919841,51;3148240,92;3.342.338,49;2.775.772,08;5607969;5607969;5287464;5287464;98983;98983;178462;40983;317657,38;339012
18631380;5054613;22033490;ZDRAVSTVENI DOM NOVO MESTO;Kandijska cesta 4;Novo mesto;8000;8;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.13133;Velikost RS se ne izra?unava;295;NE;NE;NE;DA;2018;1;30.05.2019;14.046.032;13.316.764;285.856;114.023;10221010;10123835;10808264,88;10564155,39;3.237.767,12;2.752.608,61;13049491;13049491;12479808;12479808;615400;615400;692667;-463672;1400794;1635196
82546193;1191004;22033819;UPK Ljubljana;Studenec 48;Ljubljana - Polje;1260;1;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;560;NE;NE;NE;DA;2018;1;30.05.2019;27.383.265;24.165.551;1.415.637;-967.600;38260116;37696412;24224273,97;22689049,61;3.158.991,03;1.476.501,39;25538800;25538800;25004756;25004756;1295432;1295432;2528796;2187578;37849229;36393455
13920235;5820456;22033678;ZDRAVSTVENI DOM VELENJE;Vodnikova cesta 1;Velenje;3320;3;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.13133;Velikost RS se ne izra?unava;326;NE;NE;NE;DA;2018;1;30.05.2019;13.379.572;11.888.453;-381.511;-610.519;7784791;7990403;10325405,75;9206921,68;3.054.166,25;2.681.531,32;11509289;11509289;11185686;11185686;36088;36088;242355;130238;473552,49;494461,87
90097114;5050804;45022059;DOM UPOKOJENCEV Podbrdo;Podbrdo 33;Podbrdo;5243;5;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;165;NE;NE;NE;DA;2018;1;30.05.2019;5.504.138;5.452.342;321.305;53.058;6790860;5616125;2456830,05;2717998,81;3.047.307,95;2.734.343,19;5464766;5464766;5469932;5469932;51464;51464;391589;103648;5161185;5227150
83737766;1824759;68887479;COMETT DOMOVI d.o.o.;Tbilisijska ulica 57 B;Ljubljana;1000;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11002;Srednje enote;147;NE;NE;NE;DA;2018;3;30.05.2019;5.123.715;4.952.326;554.653;701.638;8338478;8572665;2103044,18;2125027,1;3.020.670,82;2.827.298,90;4952326;4952326;4937427;4937427;701638;701638;371494;175607;12304373;9689612
95839798;5049920;45020154;DOM TISJE ŠMARTNO PRI LITIJI;?rni Potok 13;Šmartno pri Litiji;1275;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;153;NE;NE;NE;DA;2018;1;30.05.2019;4.936.311;4.674.311;8.155;-59.298;5526941;5643751;1936099,42;1967922,46;3.000.211,58;2.706.388,54;4543211;4543211;3305749;3305749;147640;147640;893;242908;340537,5;285562,25
16426711;1540017;22033350;ESTETIKA FABJAN d.o.o.;Gosposvetska ulica 6;Kranj;4000;4;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Majhne enote;4;DA;NE;NE;NE;2018;1;30.05.2019;1.979.176;2.592.185;2.815.439;2.354.959;3456475,84;3179918,99;297.266,21;305.024,19;1.681.910,23;2.287.161,15;2610276;2610276;2566192;2566192;2371825;2371825;2185767;-6295075;273970477;267865582
53318862;5241952;45021304;Dom Grosuplje;Ob Grosupeljš?ici 28;Grosuplje;1290;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;124;NE;NE;NE;DA;2018;1;30.05.2019;4.407.578;4.273.170;177.562;202.580;4791899;4695640;1510689,08;2011914,06;2.896.888,92;2.261.255,94;4110372;4110372;4065609;4065609;28765;28765;273191;-7209;4742874;4787987
87980193;5051070;45022580;Dom upokojencev Center;Tabor 10;Ljubljana;1000;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;196;NE;NE;NE;DA;2018;1;30.05.2019;5.607.969;5.287.464;98.983;178.462;3818090;3799137;2728356,52;2405120,7;2.879.612,48;2.882.343,30;6860195;6860195;6729770;6729770;364963;364963;109296;48701;1846565,55;1837149
94095400;5801915;22033680;ZD MURSKA SOBOTA;Grajska ulica 24;Murska Sobota;9000;9;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.13133;Velikost RS se ne izra?unava;321;NE;NE;NE;DA;2018;1;30.05.2019;13.175.524;11.690.313;277.363;-20.778;4215014;3856374;10319526,35;9643903,77;2.855.997,65;2.046.409,23;11425933;11425933;11149598;11149598;589269;589269;873934;55962;4433267;4439997
17708605;5185530;45016525;CUDV Draga;Draga 1;Ig;1292;1;Q87.200;Dejavnost nastanitvenih ustanov za oskrbo duševno prizadetih, duševno obolelih in zasvojenih oseb;4;S.13113;Velikost RS se ne izra?unava;440;NE;NE;NE;DA;2018;1;30.05.2019;16.445.637;15.743.889;1.002;399;8233524;8096591;13663596;14744385,38;2.782.041,00;999.503,62;15405619;15405619;15296243;15296243;1993;1993;333993;13749;38632,08;31420
99756650;5055121;22033502;SB Trbovlje;Rudarska cesta 9;Trbovlje;1420;1;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;323;NE;NE;NE;DA;2018;1;30.05.2019;17.493.851;17.028.199;-169.882;-208.031;14142303;14421771;14726715,33;14402397,14;2.767.135,67;2.625.801,86;16097403;16097403;15596658;15596658;-707313;-707313;175607;18203;81991,26;85128
53602200;5049644;45019656;DOM PO?ITKA MENGEŠ;Glavni trg 13;Mengeš;1234;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;137;NE;NE;NE;DA;2018;1;30.05.2019;4.662.817;4.531.742;162.759;22.122;5117529;5043563;1920444,75;2092992,46;2.742.372,25;2.438.749,54;4497860;4497860;4470106;4470106;161532;161532;118158;77709;3073664;2999798
44724535;6462642;68984135;NIJZ;Trubarjeva cesta 2;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.13113;Velikost RS se ne izra?unava;447;NE;NE;NE;DA;2018;2;30.05.2019;35.801.350;30.399.622;11.426;-553.080;14641381;16.346.39;33139842,77;29499272,66;2.661.507,23;900.349,34;29047054;29047054;23912599;23912599;-640521;-640521;-52000;52182;138317,21;146805
31802435;5051002;45022575;DOM UPOKOJENCEV KRANJ;Cesta 1. maja 59;Kranj;4000;4;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;151;NE;NE;NE;DA;2018;1;30.05.2019;4.748.379;4.605.411;3.898;34.171;6938914;7123038;2111703,83;2024989,46;2.636.675,17;2.580.421,54;4490356;4490356;4466604;4466604;31870;31870;207482;49229;94017,67;93414,23
55143172;5062292;45016328;DSO Ljubljana-Šiška;Kunaverjeva ulica 15;Ljubljana;1000;1;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;122;NE;NE;NE;DA;2018;1;30.05.2019;4.048.594;3.887.499;68.640;63.115;6169738;6128282;1434437,81;1417980,03;2.614.156,19;2.469.518,97;3944097;3944097;3828568;3828568;110902;110902;107380;314362;552643,8;540107
57138664;5198917;45027064;OBALNI DOM UPOKOJENCEV KOPER - CASA COSTIERA DEL PENSIONATO CAPODISTRIA;Krožna cesta 5;Koper - Capodistria;6000;6;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.11001;Velikost RS se ne izra?unava;139;NE;NE;NE;DA;2018;1;30.05.2019;4.918.418;4.125.868;194.803;105.880;3765004;3430832;2389807,07;1922978,6;2.528.610,93;2.202.889,40;3561209;3561209;3445564;3445564;72054;72054;152967;292930;3107925;2660399
